,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
49,USC,111.6,99.7,0.785,23–8,23,31,52.3,49.5,36.7,24.1,16,17.8,31,31.3,70.8,50.8,46.6,36.6,36.3,14.1,8.2,56.4,53,36.2,36.5,70.7,78.071,81.998,1.068,"2,017",0.63,0.393,81.237,,73.8,70.7,1.11,1.028,22.455,USC
50,Nevada,112.9,101.3,0.777,25–6,25,31,52.6,47.9,41.1,28.2,15.7,16.1,30.5,26.6,70.9,49,49.1,38.6,30.5,10.8,6.6,61.4,52.5,40.1,34.9,71,77.499,79.397,1.63,"2,017",-0.37,-0.514,31.488,,70,68.6,1.12,0.996,15.082,Nevada
51,East Tennessee St.,106.4,96.4,0.757,22–7,22,29,56.3,48.8,43.3,39,21.1,22.9,30.4,26.8,71.9,56.3,45.7,37.6,35.7,13.5,9.5,54.5,47.8,35.8,39.7,71.6,76.657,79.487,2.526,"2,017",-0.19,-0.25,10.643,,68.7,71.5,1.097,0.952,13.166,East Tennessee St.
52,Vermont,109.4,99.9,0.74,25–5,25,30,55.2,49.4,35.3,26.6,17.5,19.7,30.4,27,65.8,55.7,47.2,36.1,36.3,11.2,7.2,49,44.8,31.4,30.4,66.2,76.783,79.384,1.935,"2,017",-0.34,-0.25,6.681,,70.3,71,1.118,0.983,13.098,Vermont
53,Bucknell,107.6,100.1,0.697,23–8,23,31,55.6,48.8,38.3,32.6,19.2,20.1,27.3,27.1,70.3,54.6,47,38.2,34.9,9.4,8.9,53.7,50.1,38.8,32.3,71.4,76.237,79.959,1.413,"2,017",-0.17,-0.25,0.2,,67.8,65.9,1.082,0.962,12.934,Bucknell
54,New Mexico St.,109.6,102.5,0.684,22–5,22,27,52.6,48.3,41.6,35.9,19.1,18.9,36.3,27.8,69.8,54.3,49.6,33.3,30.4,8.6,5.4,56,45.2,38.7,33.5,69.1,76.628,79.759,1.778,"2,017",-0.22,-0.164,1.948,,71.1,67.6,1.114,0.987,10.368,New Mexico St.
55,Florida Gulf Coast,108.4,104.3,0.609,20–7,20,27,54,49.7,34.9,35,18.3,17.3,34,29.7,68,55.4,51.2,33.9,31.4,8.9,7.9,49.5,48,32,37.8,67.2,76.896,80.064,1.801,"2,017",-0.23,-0.164,28.624,,69.2,68.4,1.109,1.042,14.218,Florida Gulf Coast
56,Winthrop,105.7,102.1,0.598,21–6,21,27,53.7,46.7,38.3,34.3,18.1,18.9,27.1,29,71.1,51.5,45.7,37.7,32.4,13.6,9.9,48.5,42.3,43.3,35.2,72.3,74.895,78.889,2.203,"2,017",-0.2,-0.25,5.374,,71.6,72.7,1.084,0.978,10.625,Winthrop
57,Iona,107.6,105.3,0.562,19–12,19,31,53.4,49.9,30.5,33.3,16.7,17.7,26.8,30.2,72.9,49.3,47.5,39.7,36.1,7.1,7.6,56.1,55,40,35.8,72.1,76.03,79.23,1.928,"2,017",-0.12,-0.164,19.851,,75.7,70,1.093,1.043,12.419,Iona
58,Northern Kentucky,105.7,104.7,0.527,19–10,19,29,52.6,50,38,30.8,19.5,17,32,26.4,70.3,51.6,50.5,35.9,32.6,6.5,13.6,52.8,45,42.3,33.4,69.3,76.687,78.86,1.277,"2,017",-0.05,-0.064,10.36,,67.8,71.1,1.065,1.028,11.44,Northern Kentucky
59,Kent St.,103.3,102.5,0.522,17–13,17,30,47.7,49.4,31.8,34.3,18.8,19.7,38.7,30.7,70.6,48.7,48.1,30.6,34.5,9.4,6,45.6,52.8,35.1,35.3,70.1,76.15,79.833,1.629,"2,017",-0.09,-0.164,14.694,,71.7,69.9,1.049,1.01,10.991,Kent St.
60,Troy,107.9,108,0.497,16–14,16,30,51.4,50.2,40.2,33.2,18.3,17.4,31.3,29.6,69.7,50.2,49.7,35.4,34,10.1,9.2,47.8,51.7,40.7,39.6,69.8,76.391,78.877,2.045,"2,017",-0.1,-0.064,10.042,,72.3,72.9,1.081,1.05,11.828,Troy
61,North Carolina Central,101.3,101.9,0.483,19–8,19,27,51.8,45.9,33.9,28,18.6,19.3,31.6,31.7,68.1,53.3,46.5,33.1,29.9,8.7,7.6,52.3,44.1,39.5,35.3,67.8,75.773,78.337,2.859,"2,017",0,0,0.2,,69.2,61.9,1.066,0.952,6.857,North Carolina Central
62,North Dakota,101.6,103.3,0.452,16–9,16,25,53.1,51,35.9,39,19,20.4,26.9,28,72.4,51.8,49.7,37.4,35.7,7.2,5.9,52.5,45.2,30.2,32.4,72.2,76.538,79.61,1.823,"2,017",-0.08,-0.064,0.2,,73.1,68.2,1.059,1.01,8.61,North Dakota
63,Jacksonville St.,103.3,106,0.426,15–14,15,29,51.9,50.3,34.5,36.5,20.8,16.8,31.2,27.4,65.6,50.6,44.9,36.2,39.7,10.5,8.7,56.8,49.9,36.1,36.9,65.9,76.709,80.554,1.785,"2,017",-0.09,-0.064,4.175,,70.9,71.4,1.044,1.051,12.675,Jacksonville St.
64,New Orleans,98.2,101,0.42,15–11,15,26,50.2,50,42.8,35.4,24.2,22.3,36,32.7,69.1,51.1,51.9,31.6,31.1,8.7,8.7,61.5,51.1,25.2,36.3,68.3,75.938,79.868,2.499,"2,017",0,0,0.455,,71.2,68.7,1.01,0.998,12.244,New Orleans
65,Mount St. Mary's,98.2,101.4,0.409,16–15,16,31,50.8,49.5,32.3,33.1,19,21.6,22.7,35.1,68.3,49.1,48.6,35.8,34.7,10.1,7.9,46.9,44.9,37,27.7,68.3,74.935,79.611,1.461,"2,017",-0.03,-0.007,4.25,,67.1,67.2,0.988,1.003,17.31,Mount St. Mary's
66,South Dakota St.,108.7,112.5,0.403,13–16,13,29,54,54.4,40.6,26.7,18.2,16.4,26.4,29.2,69.2,53.1,52.9,36.7,37.3,7,10.6,53.2,55.4,46.9,47.4,68.6,77.531,80.111,1.779,"2,017",-0.02,-0.007,6.456,,76.7,73.3,1.099,1.123,13.593,South Dakota St.
67,UC Davis,98.8,102.6,0.393,17–12,17,29,49.6,49.4,41.3,35.1,20.2,19.9,29,28.8,70.1,47.7,49.2,35.8,33.2,8.8,8.8,52.8,55.2,32.2,36.9,70.5,75.769,78.55,2.206,"2,017",-0.02,-0.007,5.789,,65.9,70,0.994,0.994,9.172,UC Davis
68,Texas Southern,102.7,107.7,0.367,20–11,20,31,48.3,50,43.8,32.4,16.1,19.1,32.5,33.9,69.4,50.2,50.3,29.9,32.9,7.3,9,46.7,48.6,34.4,29.1,70,74.36,79.871,2.001,"2,017",-0.02,-0.007,5.421,,73.5,68.6,1.072,1.042,16.487,Texas Southern
