Rk_x,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Rk_y
4,North Carolina,124.264,96.075,0.951,33–7,33,40,52.6,48.1,32.3,30.4,15.4,18.2,40.7,30.0,70.1,53.9,44.6,32.7,36.2,11.5,6.5,57.3,43.7,26.7,35.6,70.777,77.842,81.623,1.854,2016,1.9,1.65,90.938,74.7,69.7,1.182,1.0,33.598,3.0
5,Kentucky,123.868,96.289,0.948,27–9,27,36,53.5,44.5,37.8,40.8,16.2,18.0,37.5,31.9,68.3,52.9,42.7,36.6,32.6,14.2,7.5,49.8,40.4,31.0,29.6,67.343,76.716,81.335,0.956,2016,-0.8,-0.536,92.397,69.0,70.2,1.151,0.986,28.565,8.0
6,Michigan St.,123.397,97.067,0.94,29–6,29,35,56.3,43.3,30.0,34.1,17.6,14.2,37.1,24.3,66.9,51.4,41.7,43.4,31.0,12.9,8.6,71.3,48.7,35.6,32.5,66.707,77.182,80.048,1.818,2016,-2.3,-2.371,59.574,72.9,71.4,1.183,0.951,26.316,16.0
7,West Virginia,115.668,91.59,0.936,26–9,26,35,49.8,48.4,46.2,55.3,20.0,25.0,42.0,27.1,70.7,50.3,47.7,32.5,33.1,8.5,8.8,54.1,51.1,30.6,36.3,69.996,77.299,80.627,1.724,2016,-1.5,-1.864,46.477,67.3,71.4,1.103,0.937,34.837,26.0
8,Oklahoma,119.093,94.496,0.935,29–8,29,37,54.3,47.2,33.0,28.3,18.3,17.7,31.2,30.5,70.9,48.2,45.3,42.2,33.7,12.6,8.9,52.8,43.1,40.7,35.7,69.928,77.014,80.385,2.158,2016,1.8,1.629,57.714,72.2,67.8,1.112,0.992,37.739,11.0
9,Purdue,118.125,94.358,0.93,26–9,26,35,53.6,44.3,35.4,28.1,17.7,13.7,35.0,23.4,67.9,52.8,42.9,36.7,31.4,11.7,7.7,64.1,50.5,35.8,33.1,67.978,78.542,82.518,1.518,2016,-1.4,-1.114,66.451,74.4,70.1,1.136,0.95,26.934,7.0
10,Wichita St.,111.071,88.969,0.928,25–9,25,34,48.9,44.7,37.4,45.4,14.7,23.2,31.7,23.6,66.1,49.2,42.1,32.3,32.7,11.3,8.6,56.2,48.2,38.1,37.0,65.861,77.002,80.021,1.873,2016,-0.2,0.393,27.563,71.9,71.1,1.086,0.889,21.276,21.0
11,Gonzaga,118.372,95.597,0.921,27–8,27,35,55.2,44.8,34.4,28.1,17.1,15.1,32.1,26.0,68.2,54.3,44.4,37.8,30.3,7.7,8.0,49.9,43.5,35.6,32.7,67.316,78.445,82.216,1.788,2016,0.8,1.393,58.0,75.8,70.4,1.15,0.964,22.421,5.0
12,Xavier,117.814,95.347,0.919,28–6,28,34,51.4,47.8,41.7,33.6,17.4,19.3,35.2,26.0,72.4,49.8,48.6,36.3,31.1,8.4,8.8,59.1,54.7,34.2,40.5,71.513,77.888,80.569,1.534,2016,-1.0,-1.371,65.075,73.0,69.8,1.112,0.971,29.249,14.0
13,Miami FL,120.323,97.695,0.917,27–8,27,35,54.2,48.3,40.7,29.1,16.5,17.4,30.1,29.5,66.1,53.2,46.9,37.5,34.4,9.1,6.9,48.3,46.0,33.9,30.4,66.149,77.696,81.429,2.218,2016,0.5,0.136,66.635,74.9,71.7,1.135,1.017,33.85,29.0
